Fabricante;Descrição;Preço revenda;revenda c/ IPI
EA020C5I;CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL DIXTAL OMNI MINDRAY;206,47;209,15
OEM-E1118A;CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL DIXTAL OMNI MINDRAY;182,54;184,91
EA007C5I;CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL GE DASH 4000;278,75;282,38
EA050C5I;CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL MINDRAY BENEVIEW;257,72;261,07
EA023C5I;CABO ECG COM RABICHOS 05 VIAS TIPO GARRA IEC COMPATIVEL PHILIPS 12 PINOS;242,91;246,07
EC020-3AI;CABO ECG TRONCO 03 VIAS;91,38;92,57
EC057-3AI;CABO ECG TRONCO 03 VIAS AHA / IEC COMPATIVEL SIEMENS DRAGER;211,12;213,87
EJ051-3AI;CABO ECG TRONCO 03 VIAS COMPATIVEL MINDRAY T8;240,77;243,90
EE007-5AI;CABO ECG TRONCO 05 VIAS COMPATIVEL GE;198,90;201,49
EJ051-5AI;CABO ECG TRONCO 05 VIAS COMPATIVEL MINDRAY T8;281,02;284,68
OMAA0001;CABO ECG TRONCO 05 VIAS OMNI 800;96,20;97,45
EP055-6I;CABO ECG TRONCO 06 VIAS IEC COMPATIVEL NIHON KOHDEN;265,97;269,43
VA018BCI;CABO ELETROCARDIOGRAFO COM RABICHO BANANA AHA/IEC - PHILIPS;329,21;333,49
VA001BNI;CABO ELETROCARDIOGRAFO COM RABICHO BANANA IEC - NIHON BIOCARE BIONET EDAN;287,16;290,90
VA008BBI;CABO ELETROCARDIOGRAFO COM RABICHO BANANA IEC/AHA - GE MARQUETTE;347,69;352,21
VA001DAI;CABO ELETROCARDIOGRAFO COM RABICHO DIN IEC - NIHON KOHDEN;234,28;237,32
VA008CBI;CABO ELETROCARDIOGRAFO COM RABICHO GARRA AHA/IEC - GE MARQUETTE;328,69;332,97
VA020CBI;CABO ELETROCARDIOGRAFO COM RABICHO GARRA IEC - MINDRAY;318,24;322,38
VA001CNI;CABO ELETROCARDIOGRAFO COM RABICHO GARRA IEC - NIHON BIOCARE BIONET EDAN;272,81;276,36
OEM-V0051A;CABO ELETROCARDIOGRAFO COM RABICHO LONGO GARRA IEC - MICROMED;464,20;470,24
VA018CCI;CABO ELETROCARDIOGRAFO RABICHO GARRA IEC - PHILIPS;387,30;392,33
EQ056-5AI;CABO MULTI-LINK ECG 5 VIAS SPO2 TEMP COMPATIVEL DRAGER;903,63;915,37
EQ091-6AI;CABO MULTI-LINK ECG 6 PINOS 5 VIAS SPO2 TEMP COMPATIVEL DRAGER;999,49;1.012,48
EE-096P5I;CABO RABICHO SERIE PARA ECG TRONCO 5 VIAS COMPATIVEL GE;378,56;383,48
A41;CONECTOR PNI PLASTICO A41;8,03;8,13
EJ040C3I;CONJUNTO DE RABICHOS ECG ADULTO 3 VIAS IEC GARRA COMPATIVEL MINDRAY;180,93;183,28
OMAB0011;CONJUNTO DE RABICHOS ECG ADULTO 5 LEADS GARRA LL;62,53;63,34
EQ040C5I;CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS AHA/IEC GARRA COMPATIVEL DRAGER;278,59;282,21
EJ040C5I;CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS AHA/IEC GARRA COMPATIVEL MINDRAY DRAGER;280,95;284,60
EN032C5I;CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS AHA/IEC GARRA COMPATIVEL NIHON KOHDEN;212,51;215,28
OMAB0003;CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS GARRA DIN;90,11;91,28
EE051C5I-GM;CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS IEC GARRA COMPATIVEL GE;232,11;235,13
EQ040C6I;CONJUNTO DE RABICHOS ECG ADULTO 6 VIAS AHA/IEC GARRA COMPATIVEL DRAGER;305,58;309,56
V0012M-I;ELETRODO ECG CARDIOCLIP MEDLINKET;144,91;146,80
V0013C-A;ELETRODO ECG SUCÇÃO MEDLINKET;166,27;168,44
OBM-SL0071A;ORGANIZADOR DE FIOS PARA CONJUNTO DE RABICHO PARA ECG;20,63;22,64
391;PAPEL IMPRESSAO ECG 50MM X 22M;14,40;14,40
227;PAPEL PARA ELETRO ECG-1206C MEDIKEE 110MM X 20MTS;22,02;22,02
172;PAPEL TERMO SENSIVEL PARA ECG - BLOCO C/100 FLS- 216 X 280MM DIXTAL EP-3/12;16,69;16,69
165;PAPEL TERMO SENSIVEL PARA ECG - ROLO - 216MM X 30M BIONET;25,12;25,12
XJ43;PAPEL TERMOSSENSIVEL 80MM X 15 MTS PARA ELETROCARDIOGRAFO ECG-1203C - MEDIKEE ORIGINAL;17,17;17,17
CGD-TG9045-23M;PAPEL TERMOSSENSIVEL ECG 100MM X 23M;78,12;78,12
182;PAPEL TERMOSSENSIVEL ECG 80MM X 20MTS;16,84;16,84
00184;PAPEL TERMOSSENSIVEL ELETRO ECG-1203C MEDIKEE 80MM X 15MTS;16,12;16,12
00149;PAPEL TERMOSSENSIVEL ELETRO MAC 400/600 GE 80MM X 90M X 280 FLS;31,97;31,97
148;PAPEL TERMOSSENSIVEL ELETRO MAC 800 GE 110MM X 140M X 400 FLS;61,18;61,18
9903030901;SENSOR EEG ANESTESIA DESCARTAVEL ADT GE MEDLINKET;118,03;119,56
